knjiga,zanr
400869,mythology
400869,classics
400869,fiction
400869,fantasy
400869,finnishliterature
296264,classics
296264,historicalfiction
296264,fiction
296264,adventure
296264,historical
246245,classics
246245,fiction
246245,historicalfiction
246245,adventure
246245,literature
246245,american
115538,classics
115538,fiction
115538,adventure
115538,historicalfiction
115538,childrens
183645,science
183645,nonfiction
183645,history
183645,travel
183645,classics
183645,biology
183645,evolution
788085,classics
788085,fiction
788085,19thcentury
788085,victorian
788085,gothic
788085,france
326280,classics
326280,fiction
326280,dutchliterature
326280,literature
752875,plays
752875,drama
752875,classics
752875,theatre
752875,fiction
752875,swedishliterature
752875,scandinavianliterature
87263,fiction
87263,classics
87263,literature
87263,brazil
208729,classics
208729,fiction
208729,romance
517693,plays
