id,naslov,avtor_id,avtor,leto,ocena,st_ocen,st_kritik
28417,La Bête humaine,4750,Émile Zola,1890,4.05,7081,262
1219103,"Five Weeks in a Balloon (Extraordinary Voyages, #1)",696805,Jules Verne,1863,3.75,17141,357
223175,The Master of Ballantrae,854076,Robert Louis Stevenson,1889,3.73,5006,210
267117,The American Senator,20524,Anthony Trollope,1877,3.86,490,60
338807,Ruth,1413437,Elizabeth Gaskell,1853,3.78,5603,406
269713,At the Back of the North Wind,2413,George MacDonald,1871,3.96,5737,383
67326,Poor Folk,3137322,Fyodor Dostoyevsky,1846,3.75,11161,1010
183126,"Hans Brinker, or the Silver Skates",48593,Mary Mapes Dodge,1865,3.89,13182,342
355870,Selected Poems,24391,Robert Browning,1886,4.05,1440,22
28463,Home of the Gentry,410680,Ivan Turgenev,1859,3.92,2839,132
73954,"The Eustace Diamonds (Palliser, #3)",20524,Anthony Trollope,1873,3.95,3535,263
25248,Elements of the Philosophy of Right,6188,Georg Wilhelm Friedrich Hegel,1821,3.85,2882,62
369042,"The Vicomte de Bragelonne (The D'Artagnan Romances, #3.1)",4785,Alexandre Dumas,1847,3.96,7105,215
31175,The Professor,1036615,Charlotte Brontë,1857,3.57,15947,828
